Price;Up or Down;Volume;High;Low;EMA(Price);Typical;RMF(in M);MFR;MFR Index;PVI;EMA(PVI);NVI;EMA(NVI);OSCP;RMF;MFI;Bollinger Up;Bollinger Down;bollOsc;gainLoss;RSI;Stochastic Osc;Marron;Verde;Azul
17.94;1;2792664;17.96;17.76;17.95783135;1907.44;5326.83;1.17;54.02;1012.37;1116.35;1000.44;1006.51;5.01;1.08E+10;54.02;18.81;17.05;0.83;0.215;53.45;35.79;60.11;65.12;-12.17
18.305;1;1.10E+07;1.84E+01;1.80E+01;1.80E+01;2026.38;-22204.41;1.34;57.28;1014.41;1119.3;1000.44;1005.83;18.82;5.33E+09;57.28;18.73;17.25;21.3;0.365;60.27;74.21;81.79;100.61;-10.95
18.135;-1;5747015;18.39;18.09;18.0067934;2011.02;-11557.37;0.99;49.74;1014.41;1121.96;999.52;1004.29;16.94;-2.22E+10;49.74;18.66;17.41;8.09;-0.17;56.14;56.91;66.47;83.41;-24.76
18.075;-1;5358275;18.2;17.985;18.01361406;1972.15;-10567.3;1.04;50.98;1014.41;1124.35;999.18;1002.57;15.24;-1.16E+10;50.98;18.64;17.47;1.46;-0.06;54.72;50.53;62;77.24;-27.54
17.63;-1;8635669;18.15;17.63;17.97525265;1880.44;16238.88;0.92;48.01;1011.95;1123.68;999.18;1001.02;-3.6;-1.06E+10;48.01;18.62;17.51;-39.09;-0.445;45.51;3.19;27.75;24.15;-24.78
17.66;1;6210579;17.83;17.3;17.94372739;1815.8;11277.14;0.94;48.34;1011.95;1123.07;999.35;999.8;-3.24;1.62E+10;48.34;18.57;17.58;-42.29;0.03;46.16;29.03;30.95;27.7;-19.61
17.675;1;4786661;17.885;17.615;17.91685465;1856.14;-8884.69;0.91;47.76;1011.95;1122.53;999.44;998.79;-2.92;1.13E+10;47.76;18.58;17.57;-39.71;0.015;46.51;30.24;32.32;29.4;-16.3
17.34;-1;5566690;17.765;17.305;17.85916918;1776.91;-9891.49;0.73;42.32;1010.05;1119.92;999.44;997.87;-15.96;-8.88E+09;42.32;18.63;17.48;-62.65;-0.335;40.26;3.23;10.5;-5.46;-14.67
17.175;-1;6364656;17.69;17.175;17.79075226;1739.4;11070.7;0.42;29.78;1009.1;1116.53;999.44;997.05;-21.06;-9.89E+09;29.78;18.69;17.38;-65.61;-0.165;37.57;0;0.87;-20.19;-13.2
17.375;1;6677001;17.485;17.06;17.74917704;1727.62;11535.32;0.57;36.15;1010.26;1114.75;999.44;996.31;-10.76;1.11E+10;36.15;18.71;17.3;-44.95;0.2;42.57;22.74;20.68;9.91;-11.88
17.425;1;6018080;17.52;17.33;17.71675933;1763.54;-10613.1;0.78;43.83;1010.26;1113.14;999.73;995.93;-9.69;1.15E+10;43.83;18.73;17.24;-37.84;0.05;43.78;26.35;29.28;19.59;-6.13
17.315;-1;1.04E+07;1.74E+01;1.71E+01;1.77E+01;1713.28;17824.13;0.69;40.77;1009.63;1111;999.73;995.58;-13.16;-1.06E+10;40.77;18.74;17.17;-40.75;-0.11;41.7;18.41;23.93;10.77;-5.51
17.36;1;1.32E+07;1.76E+01;1.73E+01;1.76E+01;1757.88;-23171.59;1.06;51.39;1009.89;1109.36;999.73;995.27;-10.01;1.78E+10;51.39;18.73;17.11;-34.57;0.045;42.89;21.66;33.47;23.45;-4.96
17.255;-1;7173493;17.44;17.16;17.60593255;1721.3;12347.76;1.04;50.96;1009.89;1107.88;999.12;994.4;-9.01;-2.32E+10;50.96;18.72;17.04;-37.32;-0.105;40.79;14.08;29.56;20.55;-14.1
17.385;1;3380103;17.5;17.29;17.5838393;1753.42;5926.75;1.05;51.12;1009.89;1106.55;999.88;994.35;-8.11;1.23E+10;51.12;18.71;17;-27.32;0.13;44.42;23.47;38.02;29.91;-0.76
17.48;1;8978576;17.685;17.355;17.57345537;1788.34;16056.74;0.98;49.43;1010.44;1105.95;999.88;994.3;-3.46;5.93E+09;49.43;18.69;16.97;-20.21;0.095;46.98;31.58;43.36;39.91;-0.69
17.58;1;8539115;17.62;17.38;17.57410983;1794.54;-15323.79;1.32;56.87;1010.44;1105.41;1000.45;994.84;-3.11;1.61E+10;56.87;18.65;16.95;-13.07;0.1;49.62;45.61;54.31;51.21;8.51
17.46;-1;5284736;17.635;17.395;17.56269885;1785.35;-9435.09;1.34;57.23;1010.44;1104.93;999.77;994.63;-2.8;-1.53E+10;57.23;18.59;16.94;-18.49;-0.12;46.62;36.7;48.8;46;-3.29
16.36;-1;1.46E+07;1.70E+01;1.63E+01;1.74E+01;1515.18;-22105.24;1.24;55.42;1004.14;1097.56;999.77;994.45;-46.85;-9.44E+09;55.42;18.63;16.74;-69.91;-1.1;29.23;2.87;7.85;-39;-2.96
16.14;-1;1.21E+07;1.66E+01;1.61E+01;1.73E+01;1443.6;-17465.56;0.91;47.75;1004.14;1090.92;998.42;992.94;-42.16;-2.21E+10;47.75;18.65;16.52;-68.02;-0.22;27.05;0;3.39;-38.77;-24.09
15.755;-1;9872449;16.245;15.7;17.15646746;1339.42;13223.35;0.73;42.16;1004.14;1084.95;996.04;989.26;-37.95;-1.75E+10;42.16;18.72;16.24;-69.72;-0.385;23.73;2.66;-1.47;-39.42;-59.17
15.825;1;1.10E+07;1.61E+01;1.57E+01;1.70E+01;1333.03;14687.74;0.94;48.47;1004.58;1080.04;996.04;985.94;-31.03;1.32E+10;48.47;18.74;16.03;-57.62;0.07;25.52;6.28;9.23;-21.8;-53.25
16.12;1;1.09E+07;1.62E+01;1.56E+01;1.69E+01;1357.85;14852.44;1.21;54.83;1004.58;1075.61;997.9;984.73;-27.92;1.47E+10;54.83;18.7;15.9;-42.28;0.295;32.7;26;26.96;-0.96;-19.33
16.4;1;1.10E+07;1.64E+01;1.59E+01;1.69E+01;1427.65;-15723.7;1.26;55.74;1006.32;1073.43;997.9;983.65;-12.91;1.49E+10;55.74;18.64;15.83;-29.72;0.28;38.74;39.24;38.92;26.01;-17.4
16.21;-1;7190881;16.555;16.115;16.8127208;1441.52;10365.81;1.03;50.71;1006.32;1071.47;996.74;981.54;-11.62;-1.57E+10;50.71;18.62;15.73;-33.36;-0.19;36.36;30.26;31.9;20.28;-33.76
16.54;1;6976329;16.595;16.33;16.78544872;1494.09;-10423.29;1.37;57.76;1006.32;1069.7;998.78;981.61;-10.46;1.04E+10;57.76;18.55;15.69;-20.22;0.33;42.92;45.86;47.88;37.42;1.06
16.435;-1;1.03E+07;1.65E+01;1.64E+01;1.68E+01;1482.41;-15214.53;0.93;48.15;1005.69;1067.44;998.78;981.67;-13.88;-1.04E+10;48.15;18.41;15.67;-22.23;-0.105;41.46;40.9;40.5;26.62;0.95
16.24;-1;6306942;16.3;15.92;16.69936346;1404.74;8859.6;0.96;49.03;1005.69;1065.41;997.59;980.56;-12.49;-1.52E+10;49.03;18.3;15.64;-27.39;-0.195;38.81;31.68;35.5;23.01;-17.84
16.855;1;9219888;16.895;16.275;16.71492712;1544.85;-14243.36;1.05;51.17;1009.47;1067.54;997.59;979.56;15.4;8.86E+09;51.17;18.17;15.67;-2.59;0.615;49.72;60.76;59.28;74.68;-16.06
16.62;-1;6466935;16.955;16.535;16.70543441;1553.14;10044.08;0.8;44.41;1009.47;1069.47;996.2;977.3;13.86;-1.42E+10;44.41;18.1;15.66;-10.62;-0.235;46.32;50.85;48.53;62.4;-36.16
16.99;1;5570389;17.06;16.73;16.73389097;1616.39;-9003.94;0.74;42.52;1009.47;1071.19;998.42;977.41;12.48;1.00E+10;42.52;18.03;15.67;5.82;0.37;51.9;68.77;61.58;74.06;1.64
16.595;-1;8930738;17.2;16.4;16.72000187;1560.37;13935.28;0.71;41.51;1007.15;1070.22;998.42;977.5;-5.13;-9.00E+09;41.51;17.94;15.67;-9.44;-0.395;46.36;62.88;49.7;44.57;1.47
16.81;1;6205647;16.865;16.475;16.72900168;1556.89;9661.52;0.99;49.86;1007.15;1069.35;999.72;978.85;-4.62;1.39E+10;49.86;17.9;15.67;0.98;0.215;49.52;76.07;62.86;58.24;21.66
16.88;1;4258110;17.09;16.765;16.74410151;1612.12;-6864.58;1.33;57.13;1007.15;1068.57;1000.13;980.48;-4.15;9.66E+09;57.13;17.88;15.67;4.69;0.07;50.54;80.37;69.57;65.42;26.12
16.52;-1;6638902;16.97;16.47;16.72169136;1539.09;10217.87;1.39;58.17;1005.02;1065.59;1000.13;981.94;-18.74;-6.86E+09;58.17;17.82;15.66;-10.28;-0.36;45.45;58.28;56.38;37.64;23.51
16.65;1;4111499;16.8;16.51;16.71452223;1539.39;-6329.21;1.27;55.93;1005.02;1062.92;1000.92;984.04;-16.87;1.02E+10;55.93;17.76;15.67;-2.93;0.13;47.51;66.26;61.29;44.42;33.72
16.415;-1;6456444;16.705;16.39;16.68457;1498.11;9672.49;0.92;47.99;1003.6;1059.05;1000.92;985.93;-25.11;-6.33E+09;47.99;17.7;15.65;-12.75;-0.235;44.26;39.85;46.39;21.27;30.35
16.44;1;6853036;16.665;16.23;16.660113;1482.19;10157.51;0.85;45.99;1003.76;1055.72;1000.92;987.64;-21.53;9.67E+09;45.99;17.62;15.65;-10.08;0.025;44.69;40.63;47.07;25.54;27.31
16.81;1;5048229;16.81;16.38;16.6751017;1542.87;-7788.74;1.1;52.29;1003.76;1052.72;1003.17;991.43;-19.38;1.02E+10;52.29;17.58;15.67;9.92;0.37;50.79;69.53;68.09;48.71;60.8
16.69;-1;4463239;16.84;16.56;16.67659153;1551.45;6924.49;0.86;46.11;1003.76;1050.02;1002.46;994.1;-17.44;-7.79E+09;46.11;17.5;15.69;5.38;-0.12;48.9;60.16;60.22;42.78;42.98
16.87;1;3673866;16.87;16.635;16.69593238;1578.09;5797.69;1.17;53.94;1003.76;1047.6;1003.54;997.61;-15.7;6.92E+09;53.94;17.41;15.73;18.02;0.18;51.79;74.22;74.24;58.55;56.3
17.075;1;5954967;17.185;16.8;16.73383914;1643.23;9785.38;1.57;61.06;1004.97;1046.66;1003.54;1000.77;-5.58;5.80E+09;61.06;17.31;15.79;34.71;0.205;54.92;87.11;89.86;84.28;50.67
17.345;1;1.51E+07;1.74E+01;1.71E+01;1.68E+01;1719.82;25957.98;1.8;64.26;1006.55;1047.46;1003.54;1003.61;6.11;9.79E+09;64.26;17.28;15.81;54.31;0.27;58.71;97.81;104.95;111.05;45.6
17.485;1;6528326;17.485;17.135;16.8639597;1746.2;11399.77;2.52;71.6;1006.55;1048.17;1004.34;1007;5.5;2.60E+10;71.6;17.41;15.77;54.65;0.14;60.57;100;110.08;115.57;54.37
17.65;1;6496600;17.73;17.485;16.94256373;1823.89;11849.06;2.59;72.15;1006.55;1048.82;1005.29;1011.03;4.95;1.14E+10;72.15;17.55;15.75;55.75;0.165;62.69;94.67;111.07;116.02;64.64
17.71;1;5974679;17.84;17.59;17.01930736;1852.5;11068.09;4.35;81.31;1006.55;1049.4;1005.63;1015.01;4.45;1.18E+10;81.31;17.64;15.81;53.81;0.06;63.46;91.93;114.61;119.07;63.89
17.905;1;6229089;17.965;17.675;17.10787662;1895.13;11804.95;4.43;81.59;1007.65;1051.09;1005.63;1018.6;11.75;1.11E+10;81.59;17.76;15.86;57.76;0.195;65.93;96.54;118.73;130.48;57.5
17.99;1;5926958;18.035;17.835;17.19608896;1928.85;11432.23;4.6;82.15;1007.65;1052.6;1006.1;1022.32;10.58;1.18E+10;82.15;17.9;15.87;54.65;0.085;66.97;97.51;118.13;128.71;59.76
18.225;1;5922503;18.24;17.995;17.29898007;1993.99;11809.41;8.14;89.06;1007.65;1053.97;1007.41;1027.05;9.52;1.14E+10;89.06;18.08;15.84;56.65;0.235;69.74;99.25;124.27;133.79;75.91
18.26;1;5234648;18.3;18.14;17.39508206;2020.54;10576.83;8.4;89.36;1007.65;1055.19;1007.6;1031.51;8.57;1.18E+10;89.36;18.23;15.85;51.46;0.035;70.14;98.07;121.83;130.39;71.62
18.33;1;3733900;18.4;18.22;17.48857385;2048.37;-7648.39;21.24;95.5;1007.65;1056.3;1007.98;1035.94;7.71;1.06E+10;95.5;18.38;15.84;48;0.07;70.97;96.77;123.37;131.08;71.05
18.08;-1;5473332;18.41;17.965;17.54771647;1993.23;10909.63;7.68;88.48;1006.29;1055.84;1007.98;1039.93;-2.66;-7.65E+09;88.48;18.47;15.89;34.92;-0.25;64.12;83.74;107.72;105.06;63.94
18.125;1;3619166;18.15;17.82;17.60544482;1954.07;-7072.12;7.64;88.42;1006.29;1055.43;1008.23;1043.78;-2.39;1.09E+10;88.42;18.54;15.97;33.94;0.045;64.78;84.59;107.67;105.28;61.84
18.06;-1;3933247;18.275;18.02;17.65090034;1982.48;7797.58;7.28;87.92;1005.93;1054.68;1008.23;1047.25;-4.67;-7.07E+09;87.92;18.61;15.99;28.93;-0.065;62.98;80.28;103.3;98.63;55.66
18.17;1;3344528;18.22;17.95;17.70281031;1980.83;-6624.93;7.32;87.99;1005.93;1054;1008.84;1051.03;-4.21;7.80E+09;87.99;18.69;16.04;30.49;0.11;64.77;85.09;105.8;101.6;60.63
18.125;-1;3019131;18.29;18.075;17.74502927;1997.33;6030.19;5.14;83.72;1005.93;1053.4;1008.59;1054.16;-3.79;-6.62E+09;83.72;18.76;16.06;26.6;-0.045;63.42;77.82;99.84;96.06;50.26
18.22;1;3144510;18.225;18.025;17.79252635;1995.12;-6273.69;4.35;81.3;1006.46;1053.4;1008.59;1056.98;0.28;6.03E+09;81.3;18.81;16.13;27.85;0.095;65.07;85.1;101.29;101.58;45.23
18.05;-1;5655864;18.14;17.87;17.81827371;1950.37;-11031.05;2.69;72.89;1005.52;1052.42;1008.59;1059.52;-6.31;-6.27E+09;72.89;18.85;16.19;19.81;-0.17;59.87;61.08;86.46;80.15;40.71
18.015;-1;2970203;18.07;17.75;17.83794634;1926.06;5720.79;2.03;67.02;1005.52;1051.54;1008.4;1061.59;-5.68;-1.10E+10;67.02;18.88;16.25;16.96;-0.035;58.82;51.83;80.04;74.36;33.27
18;-1;5235925;18.155;17.95;17.85415171;1965.61;-10291.8;2.01;66.81;1005.44;1050.65;1008.4;1063.46;-5.7;5.72E+09;58.61;18.89;16.37;14.84;-0.015;58.35;44.22;73.27;67.57;29.94
17.64;-1;5467162;18.1;17.625;17.83273654;1875.79;-10255.27;1.39;58.09;1003.44;1047.78;1008.4;1065.14;-19.2;-1.03E+10;49.78;18.86;16.48;-1.15;-0.36;48.38;1.91;48.82;29.62;26.95
17.43;-1;8127801;17.615;17.28;17.79246288;1768.49;-14373.93;0.91;47.7;1002.25;1043.97;1008.4;1066.65;-25.66;-1.03E+10;39.57;18.8;16.63;-12.88;-0.21;43.69;13.27;37.4;11.75;24.25
17.315;-1;4054256;17.52;17.185;17.74471659;1737.74;7045.24;0.66;39.86;1002.25;1040.54;1007.74;1067.3;-23.09;-1.44E+10;31.41;18.71;16.78;-22.22;-0.115;41.33;10.61;27.03;3.93;10.39
17.61;1;5327163;17.715;17.375;17.73124494;1806.77;9624.98;0.65;39.38;1003.95;1039.18;1007.74;1067.88;-8.8;7.05E+09;30.87;18.67;16.89;-9.3;0.295;48.95;34.69;41.04;32.25;9.35
17.87;1;3753587;17.89;17.46;17.74512044;1860.62;-6984;0.64;39.05;1003.95;1037.95;1009.22;1069.99;-7.92;9.62E+09;30.49;18.6;17.05;3.11;0.26;54.56;55.92;53.4;45.48;33.84
17.825;-1;1475710;17.945;17.665;17.7531084;1883.5;-2779.5;0.72;41.89;1003.95;1036.85;1008.96;1071.61;-7.12;-6.98E+09;32.7;18.53;17.2;-2.67;-0.045;53.47;57.92;51.4;44.28;26.06
17.55;-1;6133341;17.855;17.41;17.73279756;1818.5;11153.51;0.52;34.31;1002.41;1034.27;1008.96;1073.07;-17.27;-2.78E+09;25.45;18.48;17.28;-27.63;-0.275;47.23;33.03;28.03;10.76;23.45
18.11;1;1.29E+07;1.82E+01;1.75E+01;1.78E+01;1922.7;-24842.17;0.95;48.59;1005.6;1035.18;1008.96;1074.39;6.91;1.12E+10;40.87;18.48;17.35;17.84;0.56;57.98;83.71;72.29;79.21;21.11
17.99;-1;4710253;18.15;17.82;17.79246602;1939.52;-9135.63;0.75;42.8;1005.6;1035.99;1008.3;1074.85;6.22;-2.48E+10;35.22;18.47;17.4;5.6;-0.12;55.38;72.85;60.24;66.46;7.45
17.555;-1;6031619;17.975;17.48;17.76871942;1838.61;11089.8;0.7;41.26;1003.18;1034.2;1008.3;1075.27;-11.42;-9.14E+09;33.96;18.48;17.38;-34.2;-0.435;47.12;35.58;29.36;17.95;6.7
17.86;1;5437480;17.92;17.675;17.77784748;1885.63;10253.1;0.75;42.88;1003.18;1032.59;1010.04;1077.52;-10.27;1.11E+10;35.77;18.48;17.4;-6.75;0.305;52.47;66.83;51.89;41.61;36.11
17.9;1;8074824;18.015;17.71;17.79006273;1903.64;15371.55;1.08;51.95;1003.41;1031.37;1010.04;1079.55;-7.67;1.03E+10;45.06;18.48;17.4;-3;0.04;53.14;70.79;59.4;51.73;32.5
18.14;1;4342205;18.195;17.8;17.82505646;1958.34;8503.51;1.3;56.6;1003.41;1030.27;1011.38;1082.84;-6.9;1.54E+10;49.84;18.49;17.4;18.61;0.24;57.05;94.55;78.51;71.6;52.87
18.23;1;5186990;18.23;17.975;17.86555081;1991.23;10328.48;1.3;56.61;1003.9;1029.79;1011.38;1085.81;-2.72;8.50E+09;56.61;18.49;17.4;26.86;0.09;58.45;100;87.63;84.91;47.58
18.365;1;6672425;18.44;18.125;17.91549573;2046.01;-13651.88;1.79;64.18;1004.64;1030.11;1011.38;1088.48;2.76;1.03E+10;64.18;18.5;17.39;38.11;0.135;60.53;94.02;97.08;99.84;42.82
18.195;-1;3581850;18.345;18.155;17.94344616;2019.97;7235.23;2.06;67.27;1004.64;1030.41;1010.45;1089.85;2.48;-1.37E+10;67.27;18.49;17.4;23.81;-0.17;56.68;80.48;87.29;89.78;22.02
18.445;1;5775870;18.525;18.305;17.99360154;2084.9;12042.11;2.7;72.94;1006.02;1032.09;1010.45;1091.08;11.9;7.24E+09;72.94;18.53;17.38;42.91;0.25;60.64;93.04;103.76;115.66;19.82
